customer_id,age,country,signup_date,is_premium
1,38,USA,2022-03-29 01:22:44,False
2,24,USA,2022-04-01 13:58:05,True
3,42,Germany,2020-10-31 10:01:04,False
4,44,USA,2022-12-23 00:30:36,True
5,18,USA,2021-05-11 08:13:44,True
6,21,Canada,2021-08-05 10:18:32,False
7,36,Canada,2022-04-03 01:11:06,False
8,31,France,2021-12-24 08:31:38,False
9,34,USA,2020-07-07 19:50:17,False
10,26,Germany,2020-11-27 12:26:28,False
11,43,France,2021-01-30 20:37:34,False
12,42,USA,2022-11-04 11:58:35,False
13,35,Germany,2022-02-22 02:21:52,False
14,46,USA,2021-02-05 12:05:19,False
15,39,USA,2022-03-16 06:08:17,False
16,26,UK,2022-03-20 09:47:08,False
17,38,USA,2021-03-08 01:36:18,False
18,25,USA,2021-03-17 20:11:59,False
19,43,France,2022-09-07 03:30:02,False
20,34,Canada,2021-09-07 18:05:06,False
21,33,Germany,2020-06-12 20:51:33,False
22,28,France,2022-02-27 21:09:35,False
23,47,Canada,2021-10-08 03:59:53,False
24,33,USA,2021-07-11 19:00:14,True
25,30,UK,2022-03-05 17:08:28,True
26,31,USA,2022-09-21 03:59:55,False
27,40,USA,2020-12-28 03:47:34,False
28,38,France,2021-04-04 13:17:35,True
29,39,UK,2020-07-26 16:28:49,False
30,39,UK,2021-12-10 04:34:35,False
31,56,USA,2021-03-17 08:59:06,True
32,30,USA,2021-01-10 05:30:05,False
33,29,Canada,2022-02-02 09:20:54,False
34,26,USA,2021-03-23 08:09:10,False
35,41,USA,2021-05-23 22:43:58,False
36,46,USA,2021-04-27 07:04:40,True
37,33,UK,2020-10-10 08:35:24,False
38,26,Germany,2020-05-17 21:13:40,False
39,26,UK,2022-06-25 15:33:27,False
40,41,USA,2020-04-10 12:41:58,False
41,42,USA,2020-12-22 01:36:48,True
42,40,France,2022-01-01 13:39:17,True
43,28,Germany,2020-05-23 21:34:55,False
44,37,Germany,2021-12-19 10:44:18,False
45,36,Germany,2022-03-14 10:34:06,True
46,37,France,2021-12-27 13:10:37,False
47,43,USA,2020-01-22 15:56:11,False
48,37,USA,2022-08-30 12:54:45,False
49,41,UK,2020-12-23 21:29:17,False
50,35,USA,2022-06-01 06:52:59,True
51,37,France,2020-08-04 19:11:24,False
52,41,UK,2020-06-27 00:02:43,False
53,20,France,2022-05-02 20:29:42,False
54,31,Canada,2022-10-26 22:42:31,False
55,30,UK,2022-08-01 06:01:19,False
56,28,Canada,2022-04-03 08:46:45,True
57,32,Germany,2020-09-27 08:40:50,True
58,49,Canada,2022-09-27 21:05:21,False
59,26,USA,2022-01-01 23:06:15,False
60,44,UK,2020-07-07 16:36:51,False
61,18,UK,2020-05-21 18:45:33,False
62,31,USA,2022-08-12 19:02:22,False
63,36,USA,2020-10-28 13:36:43,False
64,40,Canada,2022-04-19 10:01:59,True
65,42,Germany,2020-05-31 23:10:04,False
66,42,USA,2020-11-03 11:17:49,False
67,31,USA,2020-11-06 17:43:48,False
68,30,USA,2020-11-04 02:09:54,True
69,43,USA,2022-01-09 12:16:12,False
70,33,Canada,2022-09-29 04:05:09,False
71,22,UK,2022-09-24 17:14:20,False
72,23,USA,2022-03-23 17:44:23,False
73,25,Germany,2020-08-09 23:08:57,False
74,39,USA,2022-11-18 19:05:49,False
75,36,USA,2021-08-17 02:50:48,False
76,41,France,2021-08-21 09:06:55,False
77,30,Germany,2022-02-07 17:23:29,True
78,36,Canada,2022-04-22 22:17:15,False
79,41,Germany,2022-11-10 09:40:21,False
80,31,UK,2021-09-30 06:54:44,True
81,39,France,2021-10-30 15:01:51,False
82,28,Canada,2022-03-28 02:21:54,False
83,31,France,2020-10-06 14:19:57,True
84,31,Canada,2020-12-03 06:04:45,False
85,23,France,2021-11-16 12:34:38,False
86,39,Canada,2020-03-11 06:49:52,False
87,30,USA,2020-12-17 06:11:58,True
88,35,France,2022-02-25 22:09:40,False
89,39,UK,2022-12-05 20:04:52,False
90,39,Germany,2021-07-23 08:49:53,False
91,41,Germany,2021-03-14 01:04:51,True
92,34,Canada,2021-04-27 15:39:45,False
93,30,Canada,2022-01-21 05:29:26,False
94,34,USA,2021-08-19 17:52:14,True
95,18,France,2020-01-26 10:58:41,True
96,20,France,2021-08-14 00:10:08,True
97,21,USA,2021-03-14 11:12:58,False
98,25,USA,2022-02-07 01:53:16,True
99,38,USA,2022-08-17 02:49:50,False
100,25,France,2022-11-20 20:14:42,False
101,31,UK,2021-10-30 19:25:21,False
102,47,Canada,2021-02-01 08:50:03,False
103,31,UK,2021-05-01 13:28:25,True
104,42,Canada,2020-07-12 09:38:46,False
105,25,UK,2022-10-22 18:53:59,False
106,32,France,2022-07-17 15:41:05,False
107,25,USA,2022-07-24 23:12:18,False
108,31,Germany,2020-12-25 14:57:30,False
109,43,France,2020-12-19 03:33:39,True
110,18,Canada,2022-07-27 20:21:25,False
111,39,France,2021-08-19 19:48:04,False
112,37,USA,2022-02-11 07:16:29,False
113,29,USA,2021-06-20 20:20:14,True
114,20,USA,2021-04-30 06:37:34,False
115,35,USA,2021-11-23 21:27:16,False
116,29,Germany,2022-06-10 00:39:16,False
117,37,France,2021-01-01 04:27:45,True
118,35,France,2022-06-05 19:45:15,False
119,51,Canada,2021-03-17 11:58:37,False
120,32,France,2022-09-27 06:55:11,True
121,24,France,2022-11-12 01:56:06,True
122,36,USA,2022-10-09 13:35:41,False
123,37,USA,2020-12-12 09:13:22,True
124,48,Germany,2022-07-13 06:45:54,False
125,43,Canada,2022-10-22 22:50:20,False
126,38,USA,2022-12-08 02:41:21,False
127,49,UK,2020-01-23 21:50:37,False
128,23,Germany,2022-03-27 12:15:25,False
129,28,USA,2022-12-28 10:23:54,True
130,25,UK,2022-04-18 01:48:24,False
131,31,Canada,2020-09-12 13:25:15,False
132,21,Germany,2022-04-15 19:10:11,True
133,41,USA,2020-04-25 08:20:37,True
134,32,Canada,2021-06-10 17:54:11,False
135,20,USA,2021-11-17 08:17:27,True
136,24,Canada,2021-05-15 06:31:06,False
137,38,USA,2022-02-06 00:25:17,False
138,43,Germany,2020-09-20 06:54:43,False
139,54,USA,2021-10-26 10:01:37,False
140,64,USA,2021-12-07 17:19:26,False
141,39,Canada,2021-11-25 15:22:23,False
142,25,USA,2020-11-13 02:16:36,True
143,18,USA,2020-11-30 16:45:36,False
144,37,USA,2020-10-09 13:23:32,False
145,26,France,2021-05-21 02:35:04,False
146,30,France,2021-10-04 05:07:40,False
147,28,Canada,2021-02-01 08:08:50,False
148,33,USA,2021-03-25 08:10:36,False
149,45,UK,2020-11-09 21:46:00,False
150,36,USA,2020-08-27 20:48:15,False
151,33,Germany,2021-12-21 13:15:18,False
152,24,Canada,2022-06-13 09:32:14,False
153,18,France,2020-11-14 14:41:17,False
154,30,Germany,2022-08-01 04:25:52,True
155,34,USA,2021-09-17 19:00:32,True
156,52,Canada,2020-07-02 19:10:05,False
157,36,UK,2021-02-05 03:14:20,False
158,44,USA,2020-01-09 05:27:53,False
159,30,USA,2020-02-12 22:18:54,False
160,23,USA,2021-01-03 09:33:45,True
161,25,USA,2021-05-13 02:10:46,True
162,27,USA,2022-05-24 01:43:30,True
163,56,UK,2020-05-27 04:41:27,False
164,26,Germany,2022-07-08 17:37:45,True
165,43,USA,2020-09-14 00:53:12,False
166,25,UK,2020-05-31 14:36:28,False
167,44,Canada,2022-02-06 01:58:40,False
168,38,France,2022-04-28 16:07:53,True
169,33,UK,2021-10-24 23:36:41,True
170,34,USA,2020-05-06 19:28:56,True
171,28,Canada,2020-05-06 10:01:41,True
172,39,USA,2021-03-03 12:12:22,True
173,30,USA,2022-12-30 11:25:28,False
174,22,Canada,2020-11-09 23:26:21,False
175,22,UK,2020-07-30 01:54:32,False
176,36,France,2022-11-02 16:59:14,False
177,50,Germany,2020-06-17 17:51:29,True
178,36,Germany,2020-01-29 22:29:31,False
179,33,USA,2021-04-08 09:20:23,False
180,37,USA,2021-03-15 14:03:14,False
181,48,USA,2021-11-10 03:45:39,False
182,37,USA,2022-08-19 23:56:04,False
183,30,Canada,2022-10-19 11:01:19,True
184,46,USA,2020-11-13 10:39:42,True
185,39,Germany,2022-12-10 23:31:09,False
186,50,France,2021-11-24 09:31:03,False
187,36,France,2020-03-17 07:49:38,False
188,22,UK,2022-10-25 12:53:47,False
189,21,UK,2020-05-31 05:53:12,False
190,51,Canada,2021-10-07 02:25:12,True
191,52,Germany,2022-05-16 15:34:17,False
192,33,France,2020-09-30 09:13:17,False
193,31,Canada,2020-10-23 14:42:29,False
194,49,France,2021-06-05 21:21:46,False
195,23,USA,2022-08-27 19:04:10,True
196,26,Germany,2020-09-02 01:39:43,False
197,41,USA,2021-12-28 03:28:28,True
198,31,Germany,2021-05-11 00:58:12,False
199,34,Canada,2020-05-02 13:57:56,True
200,33,UK,2022-02-18 02:54:13,True
201,38,UK,2022-07-01 10:51:01,False
202,49,USA,2021-09-22 21:28:39,False
203,35,Canada,2020-07-12 06:52:41,False
204,41,USA,2020-06-19 16:12:28,False
205,18,USA,2021-04-09 03:37:22,False
206,34,USA,2021-07-09 00:50:23,False
207,26,USA,2021-08-28 04:40:20,False
208,22,UK,2020-09-24 01:07:33,False
209,26,UK,2021-07-02 20:09:10,True
210,31,USA,2020-11-19 09:45:31,False
211,44,USA,2022-01-22 00:49:45,True
212,21,USA,2022-05-22 22:27:17,False
213,35,USA,2021-12-16 08:16:18,True
214,30,USA,2020-01-02 08:48:37,False
215,31,Germany,2022-12-23 06:40:22,False
216,45,USA,2020-01-27 01:10:59,False
217,40,USA,2022-12-31 08:47:38,False
218,48,USA,2020-02-04 19:47:43,True
219,33,UK,2021-07-20 00:56:53,False
220,28,USA,2020-04-26 03:27:31,False
221,32,USA,2020-04-14 08:07:00,False
222,37,Canada,2022-01-19 00:02:41,False
223,36,USA,2022-03-08 17:11:24,False
224,24,UK,2020-05-09 14:05:51,False
225,35,UK,2022-12-06 10:10:18,False
226,37,USA,2020-12-17 05:25:04,False
227,60,UK,2020-12-14 21:15:26,False
228,53,France,2020-11-21 11:41:28,False
229,26,France,2021-05-20 11:38:18,False
230,32,USA,2020-07-13 21:45:01,False
231,20,USA,2021-04-10 13:19:56,False
232,29,USA,2020-08-18 03:20:57,False
233,38,UK,2020-02-26 08:31:45,False
234,47,Germany,2021-02-08 03:15:07,False
235,27,USA,2022-01-06 19:14:36,False
236,28,USA,2022-04-16 08:18:56,True
237,18,Canada,2021-01-22 06:11:41,False
238,33,USA,2020-12-20 19:49:17,True
239,24,UK,2022-05-13 01:26:59,True
240,29,France,2022-01-16 13:58:40,False
241,26,USA,2022-07-01 00:05:11,False
242,34,USA,2022-09-20 02:05:31,False
243,18,USA,2022-06-19 01:39:16,True
244,20,Canada,2022-10-23 09:19:06,True
245,56,USA,2021-04-01 15:58:56,False
246,22,USA,2021-03-08 13:26:51,True
247,24,USA,2020-12-18 09:56:15,True
248,53,USA,2020-09-14 19:17:43,True
249,64,Germany,2022-03-31 16:58:54,False
250,23,USA,2022-02-22 00:55:33,False
251,31,Germany,2022-05-28 07:44:51,False
252,38,Germany,2020-07-02 11:03:01,False
253,52,France,2021-06-22 10:02:09,True
254,25,USA,2020-08-31 06:24:31,False
255,32,Canada,2022-09-05 18:17:16,False
256,42,Germany,2020-10-20 01:59:06,True
257,39,USA,2020-06-06 17:22:27,True
258,31,France,2021-09-16 13:42:29,False
259,33,Canada,2022-08-21 11:01:30,True
260,21,USA,2022-09-30 15:23:27,False
261,32,Canada,2020-04-15 07:41:20,False
262,32,UK,2020-12-23 04:18:08,True
263,37,Germany,2020-06-17 06:20:07,False
264,29,Canada,2020-12-03 10:06:03,False
265,39,USA,2021-08-08 02:07:39,False
266,45,France,2020-11-03 12:09:38,False
267,36,USA,2020-03-15 00:00:21,False
268,38,France,2021-07-12 23:49:26,False
269,35,Germany,2020-02-27 21:02:16,True
270,35,USA,2020-09-05 11:00:43,False
271,27,UK,2020-01-01 13:38:42,True
272,38,USA,2020-04-05 03:45:23,False
273,34,USA,2021-04-23 04:52:24,False
274,55,USA,2022-04-28 23:42:23,True
275,50,USA,2020-04-18 07:38:28,False
276,38,USA,2020-02-08 04:23:16,False
277,27,USA,2021-01-05 13:02:52,True
278,23,France,2021-12-15 20:59:02,True
279,46,France,2022-03-29 10:03:09,False
280,37,France,2022-06-21 03:32:27,False
281,39,USA,2021-01-10 01:21:13,False
282,18,Canada,2020-07-03 03:05:39,True
283,44,Germany,2020-01-29 21:03:24,False
284,39,USA,2020-06-09 23:06:13,False
285,23,USA,2020-03-12 10:00:47,False
286,30,Germany,2022-08-01 10:30:31,False
287,37,USA,2020-10-21 04:20:34,False
288,35,UK,2022-06-21 03:28:11,False
289,32,Canada,2021-08-29 06:17:34,False
290,33,USA,2021-08-13 16:19:27,False
